id,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
602,602,萬華區,房地(土地+建物),臺北市萬華區桂林路121~150號,7,商,1060308,土地1建物1車位0,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307,83.18,2,2,1,有,有,15200000,182736,,0,0,
603,603,萬華區,房地(土地+建物),臺北市萬華區桂林路121~150號,7,商,1060325,土地1建物1車位0,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307,83.18,2,2,1,有,有,13950000,167709,,0,0,
604,604,萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路121~150號,8.23,商,1051124,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307,125.84,2,2,1,有,有,17800000,182736,坡道平面,42.66,2600000,
605,605,萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路121~150號,14.68,商,1060227,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307,202.47,3,2,2,有,有,3.10E+07,177711,坡道平面,42.66,2600000,
606,606,內湖區,房地(土地+建物),臺北市內湖區星雲街168巷31~60號,10.72,住,1060408,土地1建物1車位0,七層,二十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,860124,60.19,1,1,1,有,有,10020000,166473,,0,0,共有人數2人。含增建或未登記建物。
607,607,內湖區,房地(土地+建物)+車位,臺北市內湖區環山路一段1~30號,59.73,住,1060325,土地1建物1車位4,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,981007,426.29,4,2,3,有,有,9.00E+07,211124,坡道平面,56.6,0,
608,608,中山區,房地(土地+建物)+車位,臺北市中山區基湖路112巷31~60號,50.55,住,1060324,土地1建物1車位2,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980819,272.77,4,2,3,有,有,55620000,203908,坡道平面,0,0,
609,609,中山區,房地(土地+建物),臺北市中山區八德路二段241~270號,13.19,商,1060410,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670705,145.37,3,2,2,有,有,2.30E+07,158217,,0,0,含增建或未登記建物。
610,610,中山區,房地(土地+建物),臺北市中山區林森北路119巷61~90號,9,商,1060401,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050623,39.12,1,1,1,有,有,11130000,284509,,0,0,
611,611,中山區,房地(土地+建物),臺北市中山區雙城街19巷1~30號,4.51,商,1060419,土地1建物1車位0,三層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,720301,30.67,1,1,1,有,有,5120000,166938,,0,0,
612,612,內湖區,房地(土地+建物),臺北市內湖區內湖路一段211~240號,30.14,住,1060409,土地1建物2車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,780121,126.96,3,2,2,有,有,21100000,166207,,0,0,
613,613,中山區,房地(土地+建物),臺北市中山區新生北路一段91~120號,7.07,商,1060419,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660829,51,1,1,1,有,有,7820000,153333,,0,0,
616,616,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段211~240號,52.86,住,1060228,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990602,201.31,3,2,2,有,有,2.90E+07,157738,坡道平面,26.97,1500000,含增建或未登記建物。
617,617,中山區,房地(土地+建物)+車位,臺北市中山區北安路781~810號,9.83,住,1060412,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,98.72,2,1,2,有,有,21300000,215762,塔式車位,12.8,0,
619,619,內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段61~90號,27.67,商,1060315,土地2建物1車位3,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020607,318.74,3,2,2,有,有,69800000,218987,坡道平面,107.25,0,
620,620,中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段68巷1~30號,11.26,商,1060428,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,131.52,2,1,1,有,有,25280000,267387,坡道平面,45.39,2250000,
621,621,內湖區,房地(土地+建物),臺北市內湖區文德路210巷30弄1~30號,8.11,商,1060412,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990324,65.97,1,1,1,有,無,11580000,175534,,0,0,
622,622,中山區,房地(土地+建物),臺北市中山區北安路621巷31~60號,25.75,住,1051228,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730608,138.6,3,2,2,有,無,2.90E+07,209235,,0,0,
623,623,內湖區,房地(土地+建物),臺北市內湖區大湖山莊街168巷1~30號,20.5,住,1060331,土地1建物1車位0,地下一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,850823,60,1,1,1,有,無,4400000,73333,,0,0,親友、員工或其他特殊關係間之交易。
624,624,內湖區,房地(土地+建物)+車位,臺北市內湖區文德路210巷30弄1~30號,10.05,商,1060412,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990324,116.84,2,1,1,有,有,16900000,144630,坡道平面,0,0,
629,629,松山區,房地(土地+建物),臺北市松山區新東街26巷1~30號,51.75,住,1060330,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620301,105.74,3,2,1,有,無,17830000,168621,,0,0,含增建或未登記建物。
630,630,南港區,房地(土地+建物)+車位,臺北市南港區經貿二路235巷31~60號,47.74,住,1060302,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990409,220.54,3,2,2,有,有,3.80E+07,172304,坡道平面,33.67,0,
631,631,信義區,房地(土地+建物),臺北市信義區基隆路二段181~210號,3.14,商,1060313,土地3建物1車位0,六層,二十一層,辦公商業大樓,見使用執照,鋼筋混凝土造,860221,47.71,0,0,0,無,有,9250000,193880,,0,0,
632,632,松山區,房地(土地+建物),臺北市松山區南京東路五段389巷11弄1~30號,26.4,住,1060407,土地1建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,700519,97.14,3,2,2,有,無,18800000,193535,,0,0,含增建或未登記建物。
633,633,信義區,建物,臺北市信義區基隆路一段331~360號,0,,630228,土地0建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,621124,20.43,2,1,1,有,無,59265,2901,,0,0,向政府機關承購之案件。
634,634,松山區,房地(土地+建物),臺北市松山區民生東路五段36巷4弄31~60號,65,住,1060407,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,580501,119.55,3,2,1,有,無,24880000,208114,,0,0,
635,635,北投區,房地(土地+建物),臺北市北投區新民路61~90號,14.97,其他,1060412,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1020531,63.62,1,1,1,有,無,12100000,190192,,0,0,
